Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks,Crop_Name,Price
2,2,1,3,149,3,4,0,2024-02-01,Requires attention,Tea,400
1,3,11,3,116,61,4,2,2024-08-25,High potential,Tea,400
7,3,46,2,167,4,4,0,2024-01-08,High potential,Tea,400
3,3,14,1,68,122,3,2,2024-11-19,Low potential,Spices,70
6,2,58,0,156,147,0,0,2024-04-20,Low potential,Jute,100
2,2,26,0,321,93,1,0,2024-05-02,High potential,Maize,40
3,0,9,1,318,136,4,2,2024-02-26,Moderate potential,Tea,400
6,3,17,3,333,81,1,3,2024-06-17,High potential,Maize,40
6,3,39,2,226,148,3,3,2024-09-16,High potential,Spices,70
0,1,11,1,305,21,3,2,2024-12-02,Requires attention,Spices,70
5,0,33,2,183,96,4,1,2024-05-23,Moderate potential,Tea,400
3,4,36,0,323,110,5,0,2024-04-28,Moderate potential,Vegetables,80
6,3,47,2,229,84,4,0,2024-06-04,Moderate potential,Tea,400
0,2,58,0,108,16,6,1,2024-06-18,Low potential,Wheat,70
6,2,29,2,262,16,4,3,2024-09-06,Low potential,Tea,400
7,1,57,1,261,37,4,3,2024-08-18,Moderate potential,Tea,400
4,0,14,1,294,43,3,2,2024-07-28,Moderate potential,Spices,70
1,4,10,0,326,74,2,1,2024-09-09,High potential,Rice,60
0,4,44,1,12,125,5,2,2024-10-26,Moderate potential,Vegetables,80
0,0,21,2,218,62,2,3,2024-06-21,High potential,Rice,60
7,1,41,2,240,10,3,2,2024-01-24,Moderate potential,Spices,70
1,2,5,3,103,81,5,2,2024-11-13,Requires attention,Vegetables,80
3,1,35,1,332,3,2,3,2024-06-14,Requires attention,Rice,60
7,0,18,0,158,18,0,1,2024-02-03,Low potential,Jute,100
5,1,12,1,189,119,3,0,2024-06-07,Moderate potential,Spices,70
3,4,30,2,70,91,4,1,2024-12-21,High potential,Tea,400
2,3,42,0,346,90,0,0,2024-05-22,Moderate potential,Jute,100
2,2,1,1,153,118,5,0,2024-05-09,Low potential,Vegetables,80
3,4,60,2,162,100,3,3,2024-02-05,Requires attention,Spices,70
0,2,50,0,160,148,1,2,2024-09-03,High potential,Maize,40
1,2,10,2,154,66,0,3,2024-12-10,Requires attention,Jute,100
0,2,49,2,322,128,2,3,2024-11-30,Requires attention,Rice,60
3,4,0,1,254,57,5,2,2024-06-02,Moderate potential,Vegetables,80
5,1,55,0,6,46,1,0,2024-09-17,High potential,Maize,40
4,0,3,0,113,98,6,3,2024-12-24,Moderate potential,Wheat,70
3,1,27,3,213,68,2,2,2024-05-01,Moderate potential,Rice,60
2,4,44,0,21,131,2,1,2024-09-18,Low potential,Rice,60
2,0,57,1,224,34,3,2,2024-10-13,Moderate potential,Spices,70
3,1,58,1,274,137,3,1,2024-02-02,Requires attention,Spices,70
3,3,4,3,116,55,0,3,2024-08-20,High potential,Jute,100
1,3,47,0,241,59,4,2,2024-10-15,Requires attention,Tea,400
5,0,56,0,156,111,5,0,2024-02-03,High potential,Vegetables,80
4,1,46,0,135,23,2,3,2024-03-28,Low potential,Rice,60
3,4,29,3,121,97,4,2,2024-02-03,Low potential,Tea,400
2,1,14,0,151,17,5,3,2024-06-14,Requires attention,Vegetables,80
7,0,50,2,218,99,2,1,2024-08-11,Low potential,Rice,60
4,0,13,0,243,26,0,1,2024-03-26,Moderate potential,Jute,100
5,3,58,3,216,120,4,2,2024-03-03,Requires attention,Tea,400
3,0,6,0,305,141,6,2,2024-12-09,Low potential,Wheat,70
2,1,10,2,96,131,1,2,2024-09-19,High potential,Maize,40
3,2,23,1,210,133,6,2,2024-09-20,Moderate potential,Wheat,70
7,4,20,2,160,19,4,0,2024-04-04,Requires attention,Tea,400
6,1,56,2,341,49,4,0,2024-08-24,Requires attention,Tea,400
5,3,43,0,258,99,6,3,2024-12-08,High potential,Wheat,70
6,1,1,2,155,116,3,0,2024-07-21,Low potential,Spices,70
2,4,43,3,174,149,1,2,2024-09-01,High potential,Maize,40
7,2,43,3,100,100,1,2,2024-08-01,Requires attention,Maize,40
3,3,41,3,44,20,2,1,2024-11-25,High potential,Rice,60
4,1,4,0,222,86,6,1,2024-04-17,Moderate potential,Wheat,70
0,0,44,0,8,137,5,3,2024-05-16,Moderate potential,Vegetables,80
3,3,45,2,2,28,0,3,2024-08-17,High potential,Jute,100
7,4,2,3,325,124,4,3,2024-09-18,High potential,Tea,400
0,0,26,3,217,95,0,1,2024-01-05,Low potential,Jute,100
0,4,32,0,232,69,3,2,2024-03-12,Requires attention,Spices,70
3,3,46,2,239,116,5,3,2024-11-29,Requires attention,Vegetables,80
1,0,38,1,134,37,2,3,2024-04-16,High potential,Rice,60
3,1,8,1,140,68,5,0,2024-01-18,Requires attention,Vegetables,80
5,4,57,0,42,58,0,2,2024-11-07,High potential,Jute,100
4,1,29,2,268,2,4,2,2024-01-06,Requires attention,Tea,400
3,4,41,1,296,88,4,0,2024-01-10,Low potential,Tea,400
0,3,36,1,32,135,6,0,2024-04-11,Requires attention,Wheat,70
3,0,14,1,282,130,5,1,2024-11-19,Moderate potential,Vegetables,80
6,1,38,3,123,15,6,1,2024-01-31,Moderate potential,Wheat,70
5,0,41,1,295,148,2,0,2024-12-28,High potential,Rice,60
7,4,53,3,95,90,0,2,2024-06-25,High potential,Jute,100
4,2,0,3,327,143,1,1,2024-09-14,Requires attention,Maize,40
4,1,48,1,92,99,3,3,2024-01-26,Moderate potential,Spices,70
5,1,42,1,260,6,2,0,2024-06-16,Low potential,Rice,60
0,2,21,2,296,66,2,0,2024-08-21,Moderate potential,Rice,60
0,0,7,2,10,61,4,3,2024-10-25,High potential,Tea,400
0,1,38,1,316,18,0,1,2024-08-21,Requires attention,Jute,100
2,1,43,1,49,119,6,1,2024-07-10,Moderate potential,Wheat,70
4,2,19,2,242,28,4,1,2024-07-14,High potential,Tea,400
6,4,58,3,304,132,1,1,2024-08-27,Low potential,Maize,40
3,3,44,1,17,68,6,1,2024-08-17,Moderate potential,Wheat,70
5,1,55,3,267,135,6,1,2024-06-12,High potential,Wheat,70
1,0,55,0,326,38,5,0,2024-05-29,Moderate potential,Vegetables,80
4,2,12,3,183,145,5,2,2024-05-11,Requires attention,Vegetables,80
2,0,29,2,140,149,2,2,2024-04-18,Requires attention,Rice,60
0,3,11,2,323,21,5,3,2024-10-25,Requires attention,Vegetables,80
3,0,45,3,121,117,4,1,2024-05-06,Requires attention,Tea,400
5,4,35,3,256,140,4,2,2024-11-04,Requires attention,Tea,400
0,1,31,0,213,80,4,2,2024-06-10,High potential,Tea,400
5,3,22,2,260,39,4,0,2024-04-30,Moderate potential,Tea,400
4,3,33,0,187,90,3,2,2024-06-23,Requires attention,Spices,70
4,2,14,2,30,78,4,1,2024-04-12,Requires attention,Tea,400
5,3,56,3,130,91,2,2,2024-10-07,Requires attention,Rice,60
7,4,55,1,345,83,0,1,2024-11-02,High potential,Jute,100
0,1,27,0,191,137,2,1,2024-01-26,High potential,Rice,60
2,4,50,0,50,135,3,0,2024-12-05,Low potential,Spices,70
3,1,21,1,297,101,5,1,2024-05-31,High potential,Vegetables,80
4,3,22,3,211,142,1,2,2024-11-24,Low potential,Maize,40
1,4,53,0,123,80,4,3,2024-04-07,Requires attention,Tea,400
7,3,11,2,221,34,1,3,2024-08-10,High potential,Maize,40
7,1,1,1,289,67,0,1,2024-05-20,Requires attention,Jute,100
5,4,54,0,40,98,5,0,2024-09-05,Moderate potential,Vegetables,80
3,1,49,0,36,94,3,1,2024-03-19,Requires attention,Spices,70
4,2,47,0,90,107,2,3,2024-02-26,Moderate potential,Rice,60
5,4,4,3,12,115,2,1,2024-03-07,High potential,Rice,60
6,1,16,0,296,99,5,3,2024-02-01,Requires attention,Vegetables,80
4,4,22,3,349,57,5,3,2024-09-09,Requires attention,Vegetables,80
7,4,37,1,210,119,6,0,2024-08-16,Low potential,Wheat,70
1,4,32,1,349,22,1,0,2024-12-15,Moderate potential,Maize,40
5,3,24,0,44,0,3,3,2024-08-31,High potential,Spices,70
5,4,45,1,15,11,1,3,2024-05-21,Low potential,Maize,40
4,3,58,0,308,126,5,3,2024-10-09,Low potential,Vegetables,80
3,2,35,2,120,88,5,2,2024-03-05,High potential,Vegetables,80
2,4,56,0,300,10,1,0,2024-12-30,Low potential,Maize,40
1,0,49,0,0,1,3,0,2024-03-02,Low potential,Spices,70
5,1,24,0,108,118,4,3,2024-11-04,High potential,Tea,400
5,2,50,1,70,75,3,1,2024-10-13,Moderate potential,Spices,70
2,4,55,1,201,126,0,0,2024-10-22,Requires attention,Jute,100
6,3,59,1,252,102,6,1,2024-06-19,Moderate potential,Wheat,70
1,3,50,2,172,67,3,3,2024-07-21,High potential,Spices,70
7,4,53,3,149,133,0,1,2024-03-27,Moderate potential,Jute,100
4,4,6,3,302,130,4,1,2024-05-10,Moderate potential,Tea,400
3,2,17,1,139,61,2,0,2024-08-06,Moderate potential,Rice,60
4,4,30,0,293,22,1,0,2024-04-15,Moderate potential,Maize,40
4,2,43,2,231,106,0,1,2024-01-05,Low potential,Jute,100
0,3,60,3,343,45,1,2,2024-06-28,Requires attention,Maize,40
4,3,58,3,262,30,1,0,2024-01-12,High potential,Maize,40
5,4,14,0,274,20,6,3,2024-04-28,Requires attention,Wheat,70
7,2,11,2,52,96,0,1,2024-12-13,Low potential,Jute,100
1,4,47,2,321,81,6,2,2024-05-02,Low potential,Wheat,70
6,4,26,3,134,46,4,1,2024-02-26,Requires attention,Tea,400
5,2,42,1,53,81,4,0,2024-01-09,High potential,Tea,400
4,0,25,2,244,74,5,3,2024-06-12,Requires attention,Vegetables,80
0,2,47,1,25,4,1,1,2024-09-17,Moderate potential,Maize,40
6,0,39,3,337,146,0,1,2024-11-27,High potential,Jute,100
3,2,56,1,175,11,0,2,2024-05-20,Moderate potential,Jute,100
0,1,38,0,101,35,0,2,2024-06-02,High potential,Jute,100
0,4,51,0,76,146,1,2,2024-04-11,High potential,Maize,40
2,3,25,2,107,146,1,0,2024-03-20,Moderate potential,Maize,40
3,2,44,2,291,75,0,3,2024-07-17,Requires attention,Jute,100
1,2,29,1,220,104,5,2,2024-04-22,Low potential,Vegetables,80
5,2,56,0,342,14,3,3,2024-07-20,Moderate potential,Spices,70
0,3,56,1,135,137,0,0,2024-12-20,High potential,Jute,100
6,2,13,0,161,124,6,3,2024-06-30,High potential,Wheat,70
3,3,29,2,114,113,1,0,2024-04-21,Low potential,Maize,40
0,3,46,0,153,60,2,0,2024-06-24,Requires attention,Rice,60
6,3,22,3,152,73,0,3,2024-06-19,Requires attention,Jute,100
1,1,12,3,87,101,2,2,2024-09-23,Moderate potential,Rice,60
7,3,47,2,69,100,3,1,2024-09-08,Requires attention,Spices,70
3,4,49,2,209,25,1,2,2024-06-07,Requires attention,Maize,40
6,0,17,3,328,19,0,2,2024-06-02,High potential,Jute,100
5,4,30,3,205,146,5,2,2024-07-19,Requires attention,Vegetables,80
3,0,34,3,18,100,6,1,2024-05-04,High potential,Wheat,70
0,0,17,2,323,130,2,2,2024-01-21,Requires attention,Rice,60
1,3,31,3,237,92,1,0,2024-06-04,Low potential,Maize,40
2,1,5,0,255,68,5,2,2024-01-15,High potential,Vegetables,80
7,3,2,0,267,11,6,2,2024-12-28,Requires attention,Wheat,70
3,0,7,2,14,110,6,2,2024-03-05,High potential,Wheat,70
2,3,38,2,275,8,4,3,2024-07-23,Requires attention,Tea,400
0,3,20,1,0,31,6,0,2024-08-08,Low potential,Wheat,70
2,3,57,0,35,108,2,3,2024-10-18,High potential,Rice,60
7,3,5,3,76,142,2,3,2024-03-22,Requires attention,Rice,60
2,2,1,2,170,111,1,3,2024-12-29,Moderate potential,Maize,40
5,0,49,2,67,105,0,2,2024-07-10,Low potential,Jute,100
1,3,38,3,41,51,2,1,2024-11-07,High potential,Rice,60
2,1,21,0,147,103,3,1,2024-10-08,Low potential,Spices,70
6,1,17,3,320,36,5,0,2024-01-10,Low potential,Vegetables,80
0,4,2,0,134,147,3,0,2024-04-16,Requires attention,Spices,70
0,0,21,0,184,104,3,3,2024-10-27,Requires attention,Spices,70
1,3,7,3,150,136,3,3,2024-09-14,High potential,Spices,70
6,1,29,3,185,93,4,1,2024-10-12,Low potential,Tea,400
0,0,15,1,134,69,4,0,2024-06-18,Moderate potential,Tea,400
7,3,43,2,195,140,6,2,2024-09-15,High potential,Wheat,70
0,3,18,3,243,117,4,1,2024-11-08,Moderate potential,Tea,400
3,0,21,3,134,33,0,0,2024-11-02,Requires attention,Jute,100
3,1,5,1,209,112,1,0,2024-01-24,Requires attention,Maize,40
3,2,2,2,19,66,1,0,2024-09-02,Requires attention,Maize,40
2,0,3,1,103,68,0,3,2024-01-11,Moderate potential,Jute,100
0,2,1,2,20,112,5,2,2024-06-23,High potential,Vegetables,80
6,1,14,3,250,87,2,0,2024-05-01,Low potential,Rice,60
0,3,27,0,184,80,6,2,2024-10-10,High potential,Wheat,70
5,3,33,2,104,14,2,1,2024-10-22,Requires attention,Rice,60
1,3,44,2,133,95,0,2,2024-06-08,Requires attention,Jute,100
7,1,7,1,14,18,0,3,2024-02-05,Low potential,Jute,100
5,0,59,3,274,107,2,0,2024-04-05,Moderate potential,Rice,60
1,0,34,3,326,20,4,1,2024-02-13,Requires attention,Tea,400
3,3,22,3,69,30,3,3,2024-09-09,Requires attention,Spices,70
0,1,34,0,94,132,0,1,2024-03-24,Moderate potential,Jute,100
0,3,42,0,295,61,1,0,2024-04-23,Moderate potential,Maize,40
4,4,21,1,175,19,4,1,2024-11-09,Moderate potential,Tea,400
6,4,23,3,145,19,4,1,2024-11-03,Requires attention,Tea,400
1,0,5,3,230,20,3,3,2024-09-26,Low potential,Spices,70
7,3,53,3,286,88,3,0,2024-12-13,Requires attention,Spices,70
6,2,58,2,294,119,0,0,2024-08-03,High potential,Jute,100
1,0,41,3,31,76,3,0,2024-01-08,High potential,Spices,70
6,1,17,2,82,88,3,1,2024-10-16,Moderate potential,Spices,70
2,4,39,0,12,83,6,2,2024-04-15,High potential,Wheat,70
1,2,50,1,321,17,6,0,2024-01-21,Moderate potential,Wheat,70
0,2,54,2,236,59,4,0,2024-09-27,Moderate potential,Tea,400
3,1,60,0,34,22,0,3,2024-09-16,High potential,Jute,100
0,2,41,0,163,95,5,2,2024-09-04,High potential,Vegetables,80
6,2,43,1,269,68,3,2,2024-10-11,High potential,Spices,70
5,4,35,1,208,64,0,3,2024-03-26,Low potential,Jute,100
5,1,17,2,194,105,6,1,2024-10-17,Low potential,Wheat,70
3,4,31,0,95,129,2,2,2024-05-06,Low potential,Rice,60
4,1,51,2,33,38,3,3,2024-10-25,Requires attention,Spices,70
6,2,32,3,300,33,0,1,2024-08-14,Requires attention,Jute,100
2,0,58,1,287,4,4,2,2024-09-04,Requires attention,Tea,400
1,1,56,1,81,113,2,0,2024-06-26,Requires attention,Rice,60
6,2,50,3,169,51,5,2,2024-10-06,Requires attention,Vegetables,80
0,3,23,2,31,43,3,3,2024-08-27,Low potential,Spices,70
7,1,27,3,234,10,5,3,2024-07-17,High potential,Vegetables,80
7,3,14,0,349,59,5,0,2024-08-01,Low potential,Vegetables,80
4,3,52,0,194,8,1,3,2024-02-06,Moderate potential,Maize,40
7,0,50,3,213,149,3,1,2024-09-10,Requires attention,Spices,70
6,3,13,2,12,134,0,2,2024-08-25,Low potential,Jute,100
7,2,41,3,231,73,0,1,2024-08-06,Requires attention,Jute,100
3,2,21,3,271,36,1,0,2024-08-07,High potential,Maize,40
4,0,10,1,288,85,3,0,2024-12-19,Requires attention,Spices,70
0,3,8,1,268,93,4,2,2024-08-08,Low potential,Tea,400
3,3,38,1,11,54,0,3,2024-01-20,Requires attention,Jute,100
2,1,52,1,114,101,1,1,2024-06-13,High potential,Maize,40
1,2,15,3,68,106,0,1,2024-04-20,High potential,Jute,100
7,2,2,2,25,30,0,0,2024-01-06,Requires attention,Jute,100
3,4,14,3,27,10,2,1,2024-11-26,Moderate potential,Rice,60
2,3,35,2,39,22,0,3,2024-10-16,Requires attention,Jute,100
5,1,17,1,183,75,3,2,2024-04-05,Moderate potential,Spices,70
1,0,51,2,246,31,1,2,2024-07-13,High potential,Maize,40
7,3,5,2,241,95,4,3,2024-03-01,Low potential,Tea,400
1,1,47,2,343,140,6,1,2024-09-10,Low potential,Wheat,70
4,2,37,0,300,107,2,0,2024-04-01,Low potential,Rice,60
6,4,54,1,198,109,0,2,2024-12-24,Moderate potential,Jute,100
7,0,11,0,297,15,4,1,2024-04-15,High potential,Tea,400
3,2,57,2,346,7,3,0,2024-07-15,High potential,Spices,70
5,4,18,3,315,99,4,1,2024-07-31,Low potential,Tea,400
5,0,9,0,208,134,2,3,2024-10-23,Moderate potential,Rice,60
1,0,24,1,289,117,5,2,2024-03-23,High potential,Vegetables,80
6,2,0,1,27,8,0,1,2024-08-29,High potential,Jute,100
5,4,15,3,127,97,2,3,2024-10-12,Low potential,Rice,60
3,3,20,1,187,81,5,0,2024-09-16,Low potential,Vegetables,80
6,0,50,0,242,4,5,0,2024-08-16,High potential,Vegetables,80
5,2,51,3,71,35,0,2,2024-04-30,Moderate potential,Jute,100
1,0,36,3,340,112,1,0,2024-11-24,Low potential,Maize,40
2,1,40,0,195,132,5,2,2024-10-10,Low potential,Vegetables,80
7,1,6,2,61,103,0,3,2024-08-09,Low potential,Jute,100
5,3,58,3,151,112,2,1,2024-01-07,Low potential,Rice,60
7,4,31,3,175,81,6,0,2024-01-09,Requires attention,Wheat,70
6,3,48,3,223,134,2,0,2024-11-26,Moderate potential,Rice,60
2,2,57,3,79,1,6,2,2024-12-08,Low potential,Wheat,70
3,4,35,0,240,83,6,2,2024-12-07,Requires attention,Wheat,70
6,4,34,1,75,49,0,2,2024-02-11,Moderate potential,Jute,100
7,0,36,3,140,19,3,3,2024-03-11,Low potential,Spices,70
7,1,8,0,1,138,2,2,2024-11-18,Low potential,Rice,60
7,0,13,3,345,32,2,3,2024-06-08,High potential,Rice,60
7,1,27,3,59,80,1,3,2024-04-20,Low potential,Maize,40
2,1,34,1,347,67,3,0,2024-10-08,Low potential,Spices,70
1,1,59,1,263,137,5,2,2024-05-05,Moderate potential,Vegetables,80
3,2,29,2,95,31,5,3,2024-08-25,High potential,Vegetables,80
2,4,56,3,27,23,5,3,2024-04-05,Low potential,Vegetables,80
6,3,33,2,194,24,1,3,2024-07-30,Low potential,Maize,40
1,2,41,2,329,105,5,2,2024-05-24,Moderate potential,Vegetables,80
7,4,53,0,7,5,4,1,2024-05-14,High potential,Tea,400
3,2,37,0,278,36,0,1,2024-07-16,Requires attention,Jute,100
1,2,41,3,144,142,6,2,2024-08-26,Moderate potential,Wheat,70
4,2,3,0,321,41,6,1,2024-12-04,High potential,Wheat,70
